"","softness","obedience","alpha","cross_validated","kl_factor","type","Nr","n_occur"
"1","0","0",1,"no","1","fullRSA",1,84
"2","individually_opt","0",1,"no","1","fullRSA",2,84
"3","0","0",1,"no","individually_opt","fullRSA",3,84
"4","0","individually_opt",1,"no","individually_opt","fullRSA",4,84
"5","individually_opt","0",1,"no","individually_opt","fullRSA",5,84
"6","individually_opt","individually_opt",1,"no","individually_opt","fullRSA",6,84
"7","0","0",NA,"no","1","simpleRSA",7,84
"8","0","0",NA,"no","0","simpleRSA",8,84
"9","individually_opt","0",NA,"no","1","simpleRSA",9,84
"10","0","individually_opt",NA,"no","1","simpleRSA",10,84
"11","0","0",NA,"no","individually_opt","simpleRSA",11,84
"12","0","individually_opt",NA,"no","individually_opt","simpleRSA",12,84
"13","individually_opt","0",NA,"no","individually_opt","simpleRSA",13,84
"14","individually_opt","individually_opt",NA,"no","individually_opt","simpleRSA",14,84
"15","0","0",NA,"yes","individually_opt","simpleRSA",15,84
"16","individually_opt","0",NA,"yes","individually_opt","simpleRSA",16,84
"17","0","individually_opt",NA,"yes","individually_opt","simpleRSA",17,84
"18","individually_opt","individually_opt",NA,"yes","individually_opt","simpleRSA",18,84
"19","0","0",NA,"yes","-1","simpleRSA",19,84
"20","0","0",NA,"no","0","uniform",20,84
