"","V1","V2","V3","V4","V5"
"1",0,3.55431510694523,365.385521388775,105696.761340119,318.401382694178
"2",1,6.49922843016418,0,0,0
"3",2,4.22186099295817,0,0,0
"4",3,4.04592113010933,0,0,0
"5",4,5.60229258455002,0,0,0
"6",5,2.09507555872398,0,0,0
"7",6,3.36310426190666,0,0,0
"8",7,13.8629983814575,0,0,0
"9",8,6.89975508898529,0,0,0
"10",9,6.87093192400339,0,0,0
"11",10,5.13701679032293,0,0,0
"12",11,0.824343324396045,0,0,0
"13",12,3.61567167122673,0,0,0
"14",14,8.66327448499136,0,0,0
"15",15,1.78083401144355,0,0,0
"16",16,3.26029980290568,0,0,0
"17",17,9.93413736816753,0,0,0
"18",18,4.2097950814181,0,0,0
"19",19,13.0564422607655,0,0,0
"20",20,4.46265201921248,0,0,0
"21",21,1.20372901182869,0,0,0
"22",22,11.9162354147996,0,0,0
"23",23,11.3498511116704,0,0,0
"24",24,12.8027742724904,0,0,0
"25",25,4.3147963064442,0,0,0
"26",26,2.68479802045087,0,0,0
"27",27,14.80520789645,0,0,0
"28",28,8.23281469121091,0,0,0
"29",29,17.1878372933862,0,0,0
"30",30,2.26478133978924,0,0,0
"31",32,4.205674100451,0,0,0
"32",33,6.57684256696292,0,0,0
"33",34,7.81753926714587,0,0,0
"34",35,0.385713144475062,0,0,0
"35",36,14.56819963293,0,0,0
"36",37,2.11264012967173,0,0,0
"37",38,15.1439712580549,0,0,0
"38",39,4.63875607110995,0,0,0
"39",40,0.0174207587529425,0,0,0
"40",42,9.60497151082037,0,0,0
"41",43,3.00136969664635,0,0,0
"42",44,1.30236009093648,0,0,0
"43",45,2.04508390518918,0,0,0
"44",46,0.760430951726031,0,0,0
"45",48,2.11513374485754,0,0,0
"46",49,10.0482649405819,0,0,0
"47",50,3.48486226997757,0,0,0
"48",51,2.18584463283345,0,0,0
"49",52,4.40948428373487,0,0,0
"50",53,5.26020215341305,0,0,0
"51",54,2.55009006982753,0,0,0
"52",55,6.6781186351257,0,0,0
"53",56,3.27552932138445,0,0,0
"54",57,8.1591992470325,0,0,0
"55",58,1.9954407289956,0,0,0
"56",59,1.40895672450429,0,0,0
"57",60,5.75097924167247,0,0,0
"58",61,4.82785129883822,0,0,0
"59",62,3.39054242378657,0,0,0
"60",63,2.41637807469131,0,0,0
"61",64,17.3792813753439,0,0,0
"62",65,6.2738866036885,0,0,0
"63",66,14.1641886885503,0,0,0
"64",67,2.98645798392562,0,0,0
"65",68,13.3689206586312,0,0,0
"66",69,4.25788350093337,0,0,0
"67",70,2.02739698473667,0,0,0
"68",71,15.6116211015402,0,0,0
"69",72,4.43155389820387,0,0,0
"70",73,3.6008981771694,0,0,0
"71",74,1.90949530833324,0,0,0
"72",75,5.28337137059414,0,0,0
"73",76,15.5487398696688,0,0,0
"74",77,0.407609078003867,0,0,0
"75",78,1.75266443913696,0,0,0
"76",79,13.4006411015356,0,0,0
"77",80,3.86312391836374,0,0,0
"78",81,4.2979960538958,0,0,0
"79",82,9.25446650844236,0,0,0
"80",83,1.39676073097423,0,0,0
"81",84,0.970151896301528,0,0,0
"82",86,4.42825289506234,0,0,0
"83",87,1.53903909302704,0,0,0
"84",88,7.95430520103618,0,0,0
"85",89,3.43822554310894,0,0,0
"86",90,3.0009255623947,0,0,0
"87",91,6.24049975804187,0,0,0
"88",92,9.43906392485945,0,0,0
"89",93,4.1960686927237,0,0,0
"90",94,7.70792622086048,0,0,0
"91",95,14.533862895922,0,0,0
"92",96,0.108642008184827,0,0,0
"93",97,2.38300499189326,0,0,0
"94",98,5.77380137445228,0,0,0
"95",99,6.90199996384156,0,0,0
