Browser,OS,screenH,workerid,screenW
Chrome,Windows,768,0,1366
Chrome,Mac,1080,1,1920
Chrome,Windows,768,2,1360
Chrome,Linux,640,3,360
Chrome,Mac,900,4,1440
Chrome,Windows,1050,5,1680
Chrome,Windows,1080,6,1920
Chrome,Windows,900,7,1600
Chrome,Windows,768,8,1366
Chrome,Windows,768,9,1366
Chrome,Windows,768,10,1366
Chrome,Windows,900,11,1600
Firefox,Mac,900,12,1440
Chrome,Linux,768,13,1024
Chrome,Windows,1080,14,1920
Safari,Mac,1152,15,2048
Firefox,Windows,1080,16,1920
Chrome,Windows,900,17,1440
Chrome,Windows,768,18,1366
Chrome,Windows,768,19,1366
Safari,an unknown OS,1024,20,768
Chrome,Windows,768,21,1366
Chrome,Windows,1080,22,1920
Chrome,Windows,900,23,1600
Chrome,Windows,768,24,1366
Chrome,Windows,864,25,1536
Chrome,Windows,1440,26,2560
Firefox,Windows,1080,27,1920
Chrome,Linux,1080,28,1920
Chrome,Windows,768,29,1366
Chrome,Windows,768,30,1024
Chrome,Mac,1050,31,1680
Chrome,Windows,768,32,1366
Chrome,Windows,864,33,1536
Chrome,Windows,768,34,1366
Chrome,Windows,768,35,1366
Chrome,Windows,1080,36,1920
Chrome,Windows,720,37,1280
Chrome,Windows,1080,38,1920
Chrome,Windows,768,39,1366
Chrome,Windows,1080,40,1920
Chrome,Linux,900,41,1600
Chrome,Windows,768,42,1366
Chrome,Windows,1080,43,1920
Chrome,Windows,1080,44,1920
Chrome,Windows,864,45,1536
Chrome,Linux,692,46,1218
Chrome,Windows,768,47,1366
Chrome,Windows,900,48,1600
Chrome,Windows,1080,49,1920
Chrome,Windows,1080,50,1920
Chrome,Windows,768,51,1366
Chrome,Windows,768,52,1366
Chrome,Windows,768,53,1366
Chrome,Windows,900,54,1600
Chrome,Windows,1080,55,1920
